INFO:root:Vanila_GAN_on_MNIST:
    - model name: Vanila_GAN
    - optimizer: Adam
    - learning rate: 0.0002
    - weight_decay: 0.0001
    - step_size: 200
    - gamma: 0.5
    - batch size: 512
    - device : cuda:0
    - epochs: 1000
    - load_checkpoint: False
    - mutil_gpu: True
    - gpus: ['cuda:0', 'cuda:1']
 
INFO:root:epoche 183, gen loss = 1.509851, dis loss = 0.378517
INFO:root:epoche 184, gen loss = 1.901714, dis loss = 0.391436
INFO:root:epoche 185, gen loss = 0.966502, dis loss = 0.456869
INFO:root:epoche 186, gen loss = 1.209070, dis loss = 0.381888
INFO:root:epoche 187, gen loss = 1.729216, dis loss = 0.329794
INFO:root:epoche 188, gen loss = 2.304407, dis loss = 0.626748
INFO:root:epoche 189, gen loss = 1.380503, dis loss = 0.352597
INFO:root:epoche 190, gen loss = 1.961337, dis loss = 0.350234
INFO:root:epoche 191, gen loss = 2.084425, dis loss = 0.429781
INFO:root:epoche 192, gen loss = 1.991602, dis loss = 0.338539
INFO:root:epoche 193, gen loss = 1.265824, dis loss = 0.424010
INFO:root:epoche 194, gen loss = 1.444751, dis loss = 0.376953
INFO:root:epoche 195, gen loss = 1.456484, dis loss = 0.392389
INFO:root:epoche 196, gen loss = 1.600320, dis loss = 0.443821
INFO:root:epoche 197, gen loss = 1.483332, dis loss = 0.323122
INFO:root:epoche 198, gen loss = 1.407899, dis loss = 0.326926
INFO:root:epoche 199, gen loss = 1.234310, dis loss = 0.392707
INFO:root:epoche 200, gen loss = 1.479515, dis loss = 0.312431
INFO:root:epoche 201, gen loss = 2.038943, dis loss = 0.284872
INFO:root:epoche 202, gen loss = 1.565482, dis loss = 0.335437
INFO:root:epoche 203, gen loss = 1.473845, dis loss = 0.301345
INFO:root:epoche 204, gen loss = 2.597510, dis loss = 0.661072
INFO:root:epoche 205, gen loss = 1.571698, dis loss = 0.385342
INFO:root:epoche 206, gen loss = 1.677961, dis loss = 0.309194
INFO:root:epoche 207, gen loss = 2.129933, dis loss = 0.372438
INFO:root:epoche 208, gen loss = 1.640226, dis loss = 0.287937
INFO:root:epoche 209, gen loss = 1.246207, dis loss = 0.413459
INFO:root:epoche 210, gen loss = 1.507711, dis loss = 0.413735
INFO:root:epoche 211, gen loss = 1.421178, dis loss = 0.300881
INFO:root:epoche 212, gen loss = 1.490064, dis loss = 0.400188
INFO:root:epoche 213, gen loss = 1.585645, dis loss = 0.349664
INFO:root:epoche 214, gen loss = 1.587435, dis loss = 0.272633
INFO:root:epoche 215, gen loss = 1.500152, dis loss = 0.262740
INFO:root:epoche 216, gen loss = 1.678042, dis loss = 0.269045
INFO:root:epoche 217, gen loss = 1.649230, dis loss = 0.276019
INFO:root:epoche 218, gen loss = 2.185026, dis loss = 0.381182
INFO:root:epoche 219, gen loss = 1.392441, dis loss = 0.409436
INFO:root:epoche 220, gen loss = 1.297244, dis loss = 0.457395
